,fight,count,percentage
279,St. Louis Blues x Washington Capitals,12,0.11625653943034295
280,Boston Bruins x Minnesota Wild,12,0.11625653943034295
281,Anaheim Ducks x Toronto Maple Leafs,12,0.11625653943034295
282,Anaheim Ducks x New York Islanders,12,0.11625653943034295
283,Calgary Flames x New Jersey Devils,12,0.11625653943034295
284,Calgary Flames x New York Islanders,12,0.11625653943034295
285,St. Louis Blues x Toronto Maple Leafs,12,0.11625653943034295
286,Montreal Canadiens x Winnipeg Jets,11,0.10656849447781439
287,Ottawa Senators x San Jose Sharks,11,0.10656849447781439
288,Tampa Bay Lightning x Vancouver Canucks,11,0.10656849447781439
289,Buffalo Sabres x Minnesota Wild,11,0.10656849447781439
290,Columbus Blue Jackets x Toronto Maple Leafs,11,0.10656849447781439
291,Minnesota Wild x New York Islanders,11,0.10656849447781439
292,Anaheim Ducks x Winnipeg Jets,11,0.10656849447781439
293,Toronto Maple Leafs x Winnipeg Jets,11,0.10656849447781439
294,Dallas Stars x Montreal Canadiens,11,0.10656849447781439
295,Los Angeles Kings x Toronto Maple Leafs,11,0.10656849447781439
296,Detroit Red Wings x Ottawa Senators,11,0.10656849447781439
297,Minnesota Wild x Washington Capitals,11,0.10656849447781439
298,New Jersey Devils x Vancouver Canucks,11,0.10656849447781439
299,New York Islanders x San Jose Sharks,11,0.10656849447781439
300,Los Angeles Kings x New York Islanders,11,0.10656849447781439
301,Minnesota Wild x Pittsburgh Penguins,11,0.10656849447781439
302,Nashville Predators x New York Rangers,11,0.10656849447781439
303,New Jersey Devils x San Jose Sharks,10,0.0968804495252858
304,Boston Bruins x Nashville Predators,10,0.0968804495252858
305,Dallas Stars x Toronto Maple Leafs,10,0.0968804495252858
306,Buffalo Sabres x Dallas Stars,10,0.0968804495252858
307,Colorado Avalanche x Ottawa Senators,10,0.0968804495252858
308,Dallas Stars x Pittsburgh Penguins,10,0.0968804495252858
309,Florida Panthers x Los Angeles Kings,10,0.0968804495252858
310,Los Angeles Kings x New Jersey Devils,10,0.0968804495252858
311,Montreal Canadiens x Nashville Predators,10,0.0968804495252858
312,Colorado Avalanche x Pittsburgh Penguins,10,0.0968804495252858
313,Colorado Avalanche x Toronto Maple Leafs,10,0.0968804495252858
314,St. Louis Blues x Winnipeg Jets,10,0.0968804495252858
315,Buffalo Sabres x Nashville Predators,10,0.0968804495252858
316,Minnesota Wild x Toronto Maple Leafs,10,0.0968804495252858
317,Carolina Hurricanes x St. Louis Blues,10,0.0968804495252858
318,New York Rangers x Vancouver Canucks,10,0.0968804495252858
319,Anaheim Ducks x Pittsburgh Penguins,10,0.0968804495252858
320,Detroit Red Wings x Philadelphia Flyers,10,0.0968804495252858
321,Calgary Flames x Washington Capitals,10,0.0968804495252858
322,New York Rangers x Winnipeg Jets,10,0.0968804495252858
323,St. Louis Blues x Tampa Bay Lightning,10,0.0968804495252858
324,Dallas Stars x New Jersey Devils,10,0.0968804495252858
325,Edmonton Oilers x Philadelphia Flyers,10,0.0968804495252858
326,Anaheim Ducks x Carolina Hurricanes,10,0.0968804495252858
327,Florida Panthers x St. Louis Blues,10,0.0968804495252858
328,Nashville Predators x Toronto Maple Leafs,9,0.08719240457275722
329,Carolina Hurricanes x Vancouver Canucks,9,0.08719240457275722
330,Anaheim Ducks x Vegas Golden Knights,9,0.08719240457275722
331,Los Angeles Kings x Philadelphia Flyers,9,0.08719240457275722
332,Calgary Flames x Carolina Hurricanes,9,0.08719240457275722
333,Colorado Avalanche x Montreal Canadiens,9,0.08719240457275722
334,Florida Panthers x Winnipeg Jets,9,0.08719240457275722
335,Chicago Blackhawks x New York Islanders,9,0.08719240457275722
336,Buffalo Sabres x Calgary Flames,9,0.08719240457275722
337,Pittsburgh Penguins x St. Louis Blues,9,0.08719240457275722
338,Carolina Hurricanes x Colorado Avalanche,9,0.08719240457275722
339,Detroit Red Wings x Toronto Maple Leafs,9,0.08719240457275722
340,Dallas Stars x New York Rangers,9,0.08719240457275722
341,Carolina Hurricanes x Dallas Stars,9,0.08719240457275722
342,Seattle Kraken x Vancouver Canucks,9,0.08719240457275722
343,Chicago Blackhawks x Winnipeg Jets,9,0.08719240457275722
344,Washington Capitals x Winnipeg Jets,9,0.08719240457275722
345,Vancouver Canucks x Winnipeg Jets,9,0.08719240457275722
346,Edmonton Oilers x Pittsburgh Penguins,9,0.08719240457275722
347,Dallas Stars x Philadelphia Flyers,9,0.08719240457275722
348,Calgary Flames x Pittsburgh Penguins,9,0.08719240457275722
349,Minnesota Wild x New York Rangers,9,0.08719240457275722
350,Columbus Blue Jackets x Tampa Bay Lightning,8,0.07750435962022863
351,Los Angeles Kings x Winnipeg Jets,8,0.07750435962022863
352,San Jose Sharks x Winnipeg Jets,8,0.07750435962022863
353,Detroit Red Wings x New York Islanders,8,0.07750435962022863
354,San Jose Sharks x Washington Capitals,8,0.07750435962022863
355,Buffalo Sabres x Edmonton Oilers,8,0.07750435962022863
356,Chicago Blackhawks x Montreal Canadiens,8,0.07750435962022863
357,Edmonton Oilers x Washington Capitals,8,0.07750435962022863
358,Nashville Predators x New York Islanders,8,0.07750435962022863
